0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colour Indicator,,CRUISES SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,
,29,30,,,,,,,27,28,29,30,31,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,November 2025,,,,,,,,December 2025,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,,,,,1,2,,1,2,3,4,5,6,7,,,,,,,,,,,,,,
,3,4,5,6,7,8,9,,8,9,10,11,12,13,14,,,,,,,,,,,,,,
,10,11,12,13,14,15,16,,15,16,17,18,19,20,21,,,,,,,,,,,,,,
,17,18,19,20,21,22,23,,22,23,24,25,26,27,28,,,,,,,,,,,,,,
,24,25,26,27,28,29,30,,ALE,30,31,,,,,,,,,,,,,,,,,,
